manifacturer,name,type,speed,glide,turn,fade
Discraft,Buzzz,MD,5.0,4,-1.0,1.0
Discraft,Cicada,FD,7.0,6,-1.0,1.0
Kastaplast,Berg,PA,1.0,1,0.0,2.0
Kastaplast,Falk,FD,9.0,6,-2.0,1.0
Kastaplast,Guld,DD,13.0,5,-0.5,3.0
Kastaplast,Göte,MD,4.0,5,0.0,1.0
Kastaplast,Idog,FD,7.0,5,-0.5,2.0
Kastaplast,Järn,PA,4.5,3,0.0,3.0
Kastaplast,Kaxe,MD,6.0,4,0.0,3.0
Kastaplast,Kaxe Z,MD,6.0,5,0.0,2.0
Kastaplast,Lots,FD,9.0,5,-1.0,2.0
Kastaplast,Malm,FD,10.0,4,0.0,2.5
Kastaplast,Nord,MD,5.0,4,0.0,3.0
Kastaplast,Reko,PA,3.0,3,0.0,1.0
Kastaplast,Reko X,PA,3.0,3,0.0,2.0
Kastaplast,Stig,MD,6.0,5,-2.0,1.0
Kastaplast,Stål,FD,9.0,4,0.0,3.0
Kastaplast,Svea,MD,5.0,6,-1.0,0.0
Kastaplast,Tuff,PA,3.0,4,0.0,2.0
Kastaplast,Vass,DD,12.0,5,-1.5,2.0
Kastaplast,Älva,DD,11.0,6,-2.0,2.0
